id,name,status,status_date,expiration_date,incorporation_date,state_formed,industry,street_1,street_2,city,state,zip,coordinates,address_date,agent_name,agent_street_1,agent_street_2,agent_city,agent_state,agent_zip,agent_date,agent_status,agent_court_locality
S476372,"KFM American Contracting Services, LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"8420 Terminal Road",,Lorton,VA,22079,"38.728449550565,-77.195700159712",,"MICHAEL C SCROGGS","8420 TERMINAL ROAD",,LORTON,VA,22079,2013-10-22,1,"FAIRFAX COUNTY"
S476373,"A 1 transportation llc",ACTIVE,2014-11-25,,2013-10-22,VIRGINIA,GENERAL,"6713 edsall rd",,springfield,VA,22151,"38.806692722556,-77.178120523242",,"GAMRELANBIA MOHAMED","6713 EDSALL RD",,SPRINGFIELD,VA,22151,2013-10-22,1,"FAIRFAX COUNTY"
S476375,"SoloWash Systems, LLC","CANC(VOLUNTARY) (LLC/LP/BT)",2015-01-07,,2013-10-22,VIRGINIA,GENERAL,"1100 N. GLEBE RD","SUITE 1010",ARLINGTON,VA,22201,"38.883505115031,-77.117836238157",,"LIBER COMPANIES, LLC","1405 S. FERN ST.",#508,ARLINGTON,VA,22202,2013-10-22,5,"ARLINGTON COUNTY"
S476378,"Slice of Heaven LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"205 E BROAD ST",,"FALLS CHURCH",VA,22046,"38.881033989122,-77.168589524336",,"HERMAN M. SAWYER, JR.","205 E BROAD ST",,"FALLS CHURCH",VA,22046,2013-10-22,4,"FALLS CHURCH CITY (FILED IN ARLINGTON CO)"
S476380,"Forte Horizons LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-22,VIRGINIA,GENERAL,"151 Alger Lane",,Broadway,VA,22815,"38.610052584745,-78.796061236138",,"MARTIN JOSEPH DUDZIAK","151 ALGER LANE",,BROADWAY,VA,22815,2013-10-22,2,"ROCKINGHAM COUNTY"
S476393,"Contained Creations LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"13413 ELLERTON CT",,MIDLOTHIAN,VA,23113,"37.549868797426,-77.643924694568",,"STEPHANIE LACOVARA GREEN","13413 ELLERTON CT",,MIDLOTHIAN,VA,23113,2013-10-22,1,"CHESTERFIELD COUNTY"
T054970,"CANIS MAJORIS LLC LLC",ACTIVE,2014-12-18,,2013-10-22,NEVADA,GENERAL,"2600 N.KINGS HWY, SUITE 161",,ALEXANDRIA,VA,22303,",",,"TARLAN MAMMADLI","2600 N. KINGS HWY, SUITE 161",,ALEXANDRIA,VA,22303,2014-12-18,7,"FAIRFAX COUNTY"
S476396,"KC Sales & Consignment, LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"15520 VINE COTTAGE DR",,CENTREVILLE,VA,20120,"38.835691381409,-77.48620937529",,"KAYCE L NEAS","15520 VINE COTTAGE DR",,CENTREVILLE,VA,20120,2013-10-22,1,"FAIRFAX COUNTY"
S476406,"CASCO Computers LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"1231 Thomas Lane",,Blacksburg,VA,24060,"37.199218692004,-80.486753079497",,"CHESTER ARTHUR ST. LAURENT","1231 THOMAS LANE",,BLACKSBURG,VA,24060,2013-10-22,1,"MONTGOMERY COUNTY"
S476410,"Aim High Driving School, LLC",ACTIVE,2014-11-24,,2013-10-22,VIRGINIA,GENERAL,"5015 Merriman Road",,Roanoke,VA,24018,"37.219577156305,-80.01485297059",,"HOLLY S. CARPENTER","5015 MERRIMAN ROAD",,ROANOKE,VA,24018,2013-10-22,7,"ROANOKE COUNTY"
S476413,"Sourcing Solutions & Sales, LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"435 Lands End Circle",,"Union Hall",VA,24176,"37.037233841106,-79.64593817798",,"JESS W. VAUGHT","435 LANDS END CIRCLE",,"UNION HALL",VA,24176,2013-10-22,7,"FRANKLIN COUNTY"
S476415,"Billy Bread of Williamsburg LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"1908 woodbine road",,richmond,VA,23225,"37.524575211809,-77.480502782899",,"BILLY BREAD","1433 RICHMOND RD",,WILLIAMSBURG,VA,23185,2013-10-22,1,"WILLIAMSBURG CITY (FILED IN JAMES CITY COUNTY)"
S476427,"Sand and Steel LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"2400 24th Road South Apt 305",,Arlington,VA,22206,"38.848607039896,-77.079906956411",,"DAWN M ANDERSON","2400 24TH ROAD SOUTH APT 305",,ARLINGTON,VA,22206,2013-10-22,1,"ARLINGTON COUNTY"
S476440,"Yellow Brick Consulting Limited Liability Company","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-22,VIRGINIA,GENERAL,"10205 Yellow Pine Drive",,Vienna,VA,22182,"38.967240996729,-77.302389671139",,"OSWALDO REYES-CHICA","10205 YELLOW PINE DRIVE",,VIENNA,VA,22182,2013-10-22,1,"FAIRFAX CITY (FILED IN FAIRFAX COUNTY)"
S476441,"Glancers LLC",ACTIVE,2013-10-22,,2013-10-22,VIRGINIA,GENERAL,"12001 Market Street. APT 221",,Reston,VA,20190,"38.95861787435,-77.362549541056",,"EBRAHIM EBRAHIMI","12001 MARKET STREET. APT 221",,RESTON,VA,20190,2013-10-22,7,"FAIRFAX COUNTY"
S476442,"Most Wanted Enterprises LLC",ACTIVE,2015-01-31,,2013-10-22,VIRGINIA,GENERAL,"1385 FORDHAM DRIVE","SUITE 105 BOX 230","VIRGINIA BEACH",VA,23464,"36.800738196765,-76.177661660888",,"RALPH LLOYD LACLAIR JR.","1385 FORDHAM DR","STE 105 BOX 230","VIRGINIA BEACH",VA,23464,2015-02-03,2,"VIRGINIA BEACH CITY"
S476445,"Abadnegro LLC",ACTIVE,2015-01-30,,2013-10-22,VIRGINIA,GENERAL,"3252 John Robinson Lane","Apt 23",Dumfries,VA,22026,"38.583437432084,-77.310201231173",,"LEANDREW DESHAWN ALBERT","3252 JOHN ROBINSON LANE","APT 23",DUMFRIES,VA,22026,2013-10-22,1,"PRINCE WILLIAM COUNTY"
S476452,"Shannon Graham Photography LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"11616 Duchess Drive",,Fredericksburg,VA,22408,"38.273736224524,-77.510300965393",,"SHANNON N GRAHAM","11616 DUCHESS DRIVE",,FREDERICKSBURG,VA,22408,2013-10-23,1,"SPOTSYLVANIA COUNTY"
S476454,"Donaldson-Bates LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"1307 BROOKLAND PKWY",,RICHMOND,VA,23227,"37.572980644287,-77.45444054786",,"SONYA DONALDSON-BATES","1307 BROOKLAND PKWY",,RICHMOND,VA,23227,2013-10-23,1,"RICHMOND CITY"
S476456,"Mauricio Garcia, DDS, PLLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,"OTHER PROFESSIONAL COMPANIES","21 FORT EVANS RD NE STE E",,LEESBURG,VA,20176,"39.10728516462,-77.546262766713",,"JOHN S WISIACKAS","1775 WIEHLE AVENUE","SUITE 400",RESTON,VA,20190,2013-10-23,4,"FAIRFAX COUNTY"
S476457,"Prosper Investment, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"448 VIKING DR STE 220",,"VIRGINIA BEACH",VA,23452,"36.826888429738,-76.072583470189",,"ALAN M FRIEDEN","222 CENTRAL PARK AVE.","SUITE 1300","VIRGINIA BEACH",VA,23462,2013-10-23,4,"VIRGINIA BEACH CITY"
S476460,"By Invitation Referral, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"5549 LEE HWY",,ARLINGTON,VA,22207,"38.896032541966,-77.13988535541",,"JOHN C ALTMILLER","7926 JONES BRANCH DR STE 930",,MCLEAN,VA,22102,2013-10-23,4,"FAIRFAX COUNTY"
S476469,"JERRY'S WELDING SERVICE, L.L.C.","CANC(AUTO R/A) LLC/LP/BT-FAILED MAINTAIN R/A",2015-02-28,,2013-10-23,VIRGINIA,GENERAL,"4084 SUBURBAN DR",,DANVILLE,VA,24540,"36.668030349383,-79.373276157201",,"DAVID W PUGH","530 MAIN ST STE 305","PO BOX 1119",DANVILLE,VA,24543-1119,2014-10-25,6,"DANVILLE CITY"
S476473,"CLYL HOLDINGS LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"12407 KAHNS RD",,MANASSAS,VA,20112,"38.685751220639,-77.420328007722",,"WEI LU","12407 KAHNS RD",,MANASSAS,VA,20112,2013-10-23,1,"PRINCE WILLIAM COUNTY"
S476477,"HillVets L.L.C.",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"8180 FERNLAKE CT",,ALEXANDRIA,VA,22309,"38.735080694937,-77.107562947108",,"JUSTIN BROWN","8180 FERNLAKE CT",,ALEXANDRIA,VA,22309,2013-10-23,1,"FAIRFAX COUNTY"
S476496,"Bugg Law Firm, PLLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,LAWYERS/ATTORNEYS,"10387 MAIN ST STE 204",,FAIRFAX,VA,22030,"38.845764124682,-77.305066683814",,"DONTAE L BUGG","10387 MAIN STREET","SUITE 204",FAIRFAX,VA,22030,2013-10-23,4,"FAIRFAX CITY (FILED IN FAIRFAX COUNTY)"
S476500,"UCC 1 & 2, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"EDWARD C ZIGO III / CLARK-HOOK CORPORATION","14506E LEE RD",CHANTILLY,VA,20151,",",,"WAYNE F CRYON","100 N PITT ST STE 200",,ALEXANDRIA,VA,22314,2013-10-23,4,"ALEXANDRIA CITY"
S476508,"Flow Communications Group LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"718 S PINE ST",,RICHMOND,VA,23220,"37.535718172554,-77.450830423234",,"K ANOA MONSHO","718 S PINE ST",,RICHMOND,VA,23220,2013-10-23,1,"RICHMOND CITY"
S476519,"PF Portsmouth LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"5560 Roan Chapel Drive",,Haymarket,VA,20169,"38.832441720511,-77.619271105754",,"KENNETH RYDER","5560 ROAN CHAPEL DRIVE",,HAYMARKET,VA,20169,2013-10-23,1,"PRINCE WILLIAM COUNTY"
S476525,"Property & Places, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"8258 TRAILWOOD CT",,VIENNA,VA,22182,"38.909448216078,-77.230123334226",,"LORI A WINDSOR-YAKUCHEV","8258 TRAILWOOD CT",,VIENNA,VA,22182,2013-10-23,1,"FAIRFAX COUNTY"
S476534,"McAlister Canning Company, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"39445 FLORAL LN",,MECHANICSVILLE,MD,20659,"38.451736,-76.71216",,"REGISTERED AGENT SERVICES LLC","1500 FOREST AVE STE 217",,RICHMOND,VA,23229,2013-10-23,5,"HENRICO COUNTY"
S476538,"ACM Investments LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"611 South Highland Street",,Arlington,VA,22204,"38.867252073071,-77.089850350016",,"CHAD A HACKMANN","611 SOUTH HIGHLAND STREET",,ARLINGTON,VA,22204,2013-10-23,1,"ARLINGTON COUNTY"
S476544,"I-Qualify, LLC","CANC (AUTO-FEE) LLC/LP/BT-FEES NOT PAID",2015-01-31,,2013-10-23,VIRGINIA,GENERAL,"43658 McDowell Square",,Leesburg,VA,20176,"39.080118088063,-77.491285828057",,"TINA MARIE DIAMOND","43658 MCDOWELL SQUARE",,LEESBURG,VA,20176,2013-10-23,1,"LOUDOUN COUNTY"
S476545,"VaGunTrader, LLC",ACTIVE,2013-10-23,,2013-10-23,VIRGINIA,GENERAL,"2224 SQUIRREL LEVEL RD",,PETERSBURG,VA,23805,"37.194272786341,-77.427489441081",,"BRIAN PAUL BURKLUND","2224 SQUIRREL LEVEL RD",,PETERSBURG,VA,23805,2013-10-23,1,"PETERSBURG CITY"
